Northing,Easting,Lat,Lon,Elevation
6504411.491,546195.1524,-31.59445527,117.486935,270.083
6504335.385,546194.8135,-31.59514191,117.486935,271
6504259.28,546194.4747,-31.59582856,117.486935,270.572
6504183.174,546194.1358,-31.5965152,117.486935,271.364
6504107.068,546193.7969,-31.59720185,117.486935,269.798
6504030.962,546193.458,-31.59788849,117.486935,267.881
6503954.856,546193.1191,-31.59857514,117.486935,266.87
6503878.75,546192.7802,-31.59926178,117.486935,266
6503802.645,546192.4413,-31.59994843,117.486935,266.446
6503726.539,546192.1023,-31.60063507,117.486935,267.4
6503650.433,546191.7634,-31.60132172,117.486935,269.132
6504715.573,546272.9915,-31.59170869,117.4877411,265.727
6504639.468,546272.6521,-31.59239533,117.4877411,265.764
6504563.362,546272.3127,-31.59308198,117.4877411,267.123
6504487.256,546271.9733,-31.59376862,117.4877411,268.979
6504411.15,546271.6338,-31.59445527,117.4877411,270.87
6504335.044,546271.2944,-31.59514191,117.4877411,272.474
6504258.939,546270.955,-31.59582856,117.4877411,271.717
6504182.833,546270.6155,-31.5965152,117.4877411,270.349
6504106.727,546270.2761,-31.59720185,117.4877411,269.947
6504030.621,546269.9366,-31.59788849,117.4877411,269.474
6503954.515,546269.5972,-31.59857514,117.4877411,268.585
6503878.41,546269.2577,-31.59926178,117.4877411,267.474
6503802.304,546268.9182,-31.59994843,117.4877411,267.101
6503726.198,546268.5787,-31.60063507,117.4877411,267
6503650.092,546268.2392,-31.60132172,117.4877411,268.492
6503573.986,546267.8998,-31.60200836,117.4877411,270.303
6504715.232,546349.4752,-31.59170869,117.4885473,265.479
6504639.126,546349.1352,-31.59239533,117.4885473,266.817
6504563.02,546348.7953,-31.59308198,117.4885473,268.895
6504486.914,546348.4553,-31.59376862,117.4885473,270.371
6504410.809,546348.1153,-31.59445527,117.4885473,272.684
6504334.703,546347.7753,-31.59514191,117.4885473,274.441
6504258.597,546347.4353,-31.59582856,117.4885473,274.06
6504182.491,546347.0953,-31.5965152,117.4885473,271.959
6504106.385,546346.7553,-31.59720185,117.4885473,270.909
6504030.28,546346.4153,-31.59788849,117.4885473,270.909
6503954.174,546346.0753,-31.59857514,117.4885473,270.424
6503878.068,546345.7352,-31.59926178,117.4885473,269.258
6503801.962,546345.3952,-31.59994843,117.4885473,268.121
6503725.856,546345.0551,-31.60063507,117.4885473,267.036
6503649.75,546344.7151,-31.60132172,117.4885473,268.144
6503573.644,546344.375,-31.60200836,117.4885473,269.67
6503497.539,546344.035,-31.60269501,117.4885473,271.475
6504714.89,546425.9589,-31.59170869,117.4893535,265.476
6504638.784,546425.6184,-31.59239533,117.4893535,267.725
6504562.678,546425.2779,-31.59308198,117.4893535,269.985
6504486.572,546424.9373,-31.59376862,117.4893535,272.201
6504410.467,546424.5968,-31.59445527,117.4893535,273.428
6504334.361,546424.2562,-31.59514191,117.4893535,274.505
6504258.255,546423.9157,-31.59582856,117.4893535,275.042
6504182.149,546423.5751,-31.5965152,117.4893535,274.077
6504106.043,546423.2345,-31.59720185,117.4893535,273.06
6504029.938,546422.8939,-31.59788849,117.4893535,271.889
6503953.832,546422.5534,-31.59857514,117.4893535,271.126
6503877.726,546422.2128,-31.59926178,117.4893535,270.464
6503801.62,546421.8722,-31.59994843,117.4893535,269.293
6503725.514,546421.5316,-31.60063507,117.4893535,268.926
6503649.408,546421.1909,-31.60132172,117.4893535,268.919
6503573.302,546420.8503,-31.60200836,117.4893535,269.526
6503497.196,546420.5097,-31.60269501,117.4893535,270.919
6503421.091,546420.1691,-31.60338165,117.4893535,271.514
6504714.547,546502.4426,-31.59170869,117.4901597,266.163
6504638.441,546502.1015,-31.59239533,117.4901597,267.177
6504562.336,546501.7604,-31.59308198,117.4901597,268.446
6504486.23,546501.4193,-31.59376862,117.4901597,271.727
6504410.124,546501.0782,-31.59445527,117.4901597,273.691
6504334.018,546500.7371,-31.59514191,117.4901597,273.838
6504257.912,546500.396,-31.59582856,117.4901597,275.385
6504181.807,546500.0549,-31.5965152,117.4901597,274.358
6504105.701,546499.7137,-31.59720185,117.4901597,274.672
6504029.595,546499.3726,-31.59788849,117.4901597,273.658
6503953.489,546499.0315,-31.59857514,117.4901597,272.415
6503877.383,546498.6903,-31.59926178,117.4901597,271.539
6503801.277,546498.3491,-31.59994843,117.4901597,270.464
6503725.171,546498.008,-31.60063507,117.4901597,268.333
6503649.066,546497.6668,-31.60132172,117.4901597,268.253
6503572.96,546497.3256,-31.60200836,117.4901597,268.706
6503496.854,546496.9844,-31.60269501,117.4901597,269.867
6504714.204,546578.9263,-31.59170869,117.4909658,267.454
6504638.098,546578.5847,-31.59239533,117.4909658,268.381
6504561.992,546578.243,-31.59308198,117.4909658,269.565
6504485.887,546577.9014,-31.59376862,117.4909658,272.048
6504409.781,546577.5597,-31.59445527,117.4909658,274.176
6504333.675,546577.218,-31.59514191,117.4909658,275.01
6504257.569,546576.8763,-31.59582856,117.4909658,275.424
6504181.463,546576.5346,-31.5965152,117.4909658,275.424
6504105.357,546576.193,-31.59720185,117.4909658,274.381
6504029.252,546575.8513,-31.59788849,117.4909658,273.57
6503953.146,546575.5095,-31.59857514,117.4909658,272.424
6503877.04,546575.1678,-31.59926178,117.4909658,272.163
6503800.934,546574.8261,-31.59994843,117.4909658,271.212
6503724.828,546574.4844,-31.60063507,117.4909658,269.08
6503648.722,546574.1426,-31.60132172,117.4909658,269
6503572.616,546573.8009,-31.60200836,117.4909658,269
6503420.405,546573.1174,-31.60338165,117.4909658,270
6504713.86,546655.41,-31.59170869,117.491772,266.858
6504637.754,546655.0678,-31.59239533,117.491772,268.839
6504561.649,546654.7256,-31.59308198,117.491772,270.141
6504485.543,546654.3834,-31.59376862,117.491772,272.485
6504409.437,546654.0412,-31.59445527,117.491772,274.414
6504333.331,546653.6989,-31.59514191,117.491772,275.586
6504257.225,546653.3567,-31.59582856,117.491772,276
6504181.12,546653.0144,-31.5965152,117.491772,276
6504105.014,546652.6722,-31.59720185,117.491772,275.495
