Latitude,Longitude,DryYield,Crop,Time,Heading,Variety,Elevation,sample_id
-31.60045317,117.493947,0.824,5,11/12/2020 5:18,360.0,43Y23 RR,269.18,bf66_sample_2
-31.59860746,117.4939468,0.733,5,11/12/2020 5:19,359.8,43Y23 RR,275.82,bf66_sample_2
-31.59675298,117.493947,0.814,5,11/12/2020 5:20,0.2,43Y23 RR,278.69,bf66_sample_2
-31.59477147,117.4939471,0.505,5,11/12/2020 5:22,0.4,43Y23 RR,275.98,bf66_sample_2
-31.59274088,117.4939466,0.477,5,11/12/2020 5:23,0.1,43Y23 RR,271.18,bf66_sample_2
-31.59210598,117.4940734,0.45,5,11/12/2020 5:24,180.3,43Y23 RR,268.72,bf66_sample_2
-31.59410426,117.4940736,0.531,5,11/12/2020 5:26,179.9,43Y23 RR,274.49,bf66_sample_2
-31.59633536,117.4940736,0.607,5,11/12/2020 5:27,179.8,43Y23 RR,278.14,bf66_sample_2
-31.59835698,117.4940739,0.694,5,11/12/2020 5:28,179.4,43Y23 RR,276.6,bf66_sample_2
-31.60022016,117.4940734,0.936,5,11/12/2020 5:30,179.9,43Y23 RR,270.18,bf66_sample_2
-31.60133955,117.4941998,1.071,5,11/12/2020 5:26,180.1,43Y23 RR,266.6,bf66_sample_2
-31.60341361,117.4941998,0.899,5,11/12/2020 5:27,180.0,43Y23 RR,265.73,bf66_sample_2
-31.60532769,117.4941998,0.384,5,11/12/2020 5:29,179.9,43Y23 RR,270.2,bf66_sample_2
-31.60735096,117.4941997,0.407,5,11/12/2020 5:30,180.0,43Y23 RR,272.22,bf66_sample_2
-31.60807659,117.4938205,0.684,5,11/12/2020 5:32,359.9,43Y23 RR,271.95,bf66_sample_2
-31.60597705,117.4938203,0.39,5,11/12/2020 5:33,360.0,43Y23 RR,270.59,bf66_sample_2
-31.60317524,117.4938205,1.138,5,11/12/2020 5:35,359.8,43Y23 RR,265.91,bf66_sample_2
-31.60123599,117.4938203,0.808,5,11/12/2020 5:36,359.9,43Y23 RR,266.75,bf66_sample_2
-31.59929777,117.4938203,0.881,5,11/12/2020 5:37,359.8,43Y23 RR,273.37,bf66_sample_2
-31.5973068,117.4938205,0.746,5,11/12/2020 5:39,0.1,43Y23 RR,279.0,bf66_sample_2
-31.59525988,117.4938205,0.701,5,11/12/2020 5:40,0.2,43Y23 RR,277.24,bf66_sample_2
-31.59284935,117.4938718,1.121,5,11/12/2020 5:42,353.8,43Y23 RR,271.59,bf66_sample_2
-31.59219668,117.4936941,1.009,5,11/12/2020 5:43,180.5,43Y23 RR,268.8,bf66_sample_2
-31.59200088,117.4934415,0.926,5,11/12/2020 5:45,179.7,43Y23 RR,268.02,bf66_sample_2
-31.59223958,117.4931883,1.067,5,11/12/2020 5:47,180.1,43Y23 RR,268.76,bf66_sample_2
