Latitude,Longitude,DryYield,Crop,Time,Heading,Variety,Elevation,sample_id
-31.60675982,117.4977191,0.227,5,11/11/2020 8:01,242.7,43Y23 RR,264.32,bf66_sample_1
-31.60540873,117.4968805,0.372,5,11/11/2020 8:02,344.3,43Y23 RR,265.39,bf66_sample_1
-31.60355699,117.4968552,0.651,5,11/11/2020 8:04,359.9,43Y23 RR,262.4,bf66_sample_1
-31.60154896,117.496855,0.923,5,11/11/2020 8:05,359.8,43Y23 RR,264.61,bf66_sample_1
-31.59981833,117.4968552,1.216,5,11/11/2020 8:06,360.0,43Y23 RR,267.51,bf66_sample_1
-31.5982165,117.4968552,0.915,5,11/11/2020 8:08,0.3,43Y23 RR,267.02,bf66_sample_1
-31.59660821,117.4968548,1.188,5,11/11/2020 8:09,359.7,43Y23 RR,267.11,bf66_sample_1
-31.59467112,117.4968554,0.881,5,11/11/2020 8:10,0.1,43Y23 RR,267.72,bf66_sample_1
-31.59274287,117.4968552,1.529,5,11/11/2020 8:12,0.0,43Y23 RR,265.71,bf66_sample_1
-31.59142604,117.4962201,0.546,5,11/11/2020 8:13,268.4,43Y23 RR,263.99,bf66_sample_1
-31.59141317,117.4934721,0.571,5,11/11/2020 8:14,270.7,43Y23 RR,266.48,bf66_sample_1
-31.59141593,117.4909707,0.838,5,11/11/2020 8:15,268.3,43Y23 RR,266.85,bf66_sample_1
-31.59142114,117.4883656,0.18,5,11/11/2020 8:17,268.5,43Y23 RR,266.03,bf66_sample_1
-31.59175008,117.4859138,0.128,5,11/11/2020 8:18,268.5,43Y23 RR,265.17,bf66_sample_1
-31.59348684,117.485175,0.265,5,11/11/2020 8:19,312.7,43Y23 RR,267.23,bf66_sample_1
-31.59173568,117.4846656,0.174,5,11/11/2020 8:21,267.6,43Y23 RR,265.65,bf66_sample_1
-31.59216972,117.4824387,0.139,5,11/11/2020 8:22,260.4,43Y23 RR,274.19,bf66_sample_1
-31.59352422,117.4815365,0.569,5,11/11/2020 8:23,178.9,43Y23 RR,278.04,bf66_sample_1
-31.59530369,117.4815556,1.306,5,11/11/2020 8:25,179.8,43Y23 RR,276.89,bf66_sample_1
-31.59698907,117.4815552,1.013,5,11/11/2020 8:26,179.9,43Y23 RR,275.63,bf66_sample_1
-31.59871761,117.481555,0.906,5,11/11/2020 8:27,180.3,43Y23 RR,271.84,bf66_sample_1
-31.60037366,117.4815557,0.835,5,11/11/2020 8:29,179.6,43Y23 RR,265.55,bf66_sample_1
-31.60175501,117.479799,0.195,5,11/11/2020 8:30,246.1,43Y23 RR,260.81,bf66_sample_1
-31.60115939,117.4808499,0.321,5,11/11/2020 8:31,66.2,43Y23 RR,262.64,bf66_sample_1
-31.59966911,117.4816816,0.795,5,11/11/2020 8:33,360.0,43Y23 RR,268.01,bf66_sample_1
-31.59794917,117.481682,0.993,5,11/11/2020 8:34,0.4,43Y23 RR,273.51,bf66_sample_1
-31.59615856,117.4816816,1.195,5,11/11/2020 8:35,359.9,43Y23 RR,275.38,bf66_sample_1
-31.59443074,117.481705,1.439,5,11/11/2020 8:37,359.9,43Y23 RR,277.71,bf66_sample_1
-31.5926082,117.4816813,1.037,5,11/11/2020 8:38,359.4,43Y23 RR,277.04,bf66_sample_1
-31.59186775,117.4833526,0.287,5,11/11/2020 8:39,29.9,43Y23 RR,270.61,bf66_sample_1
-31.59280078,117.4847809,0.283,5,11/11/2020 8:41,191.7,43Y23 RR,266.56,bf66_sample_1
-31.59261969,117.4858486,0.331,5,11/11/2020 8:42,353.3,43Y23 RR,267.28,bf66_sample_1
-31.59185227,117.4873898,0.406,5,11/11/2020 8:43,91.2,43Y23 RR,267.18,bf66_sample_1
-31.59152532,117.4897379,0.804,5,11/11/2020 8:45,89.9,43Y23 RR,266.93,bf66_sample_1
-31.59151965,117.4922082,0.766,5,11/11/2020 8:46,89.9,43Y23 RR,267.07,bf66_sample_1
-31.59151644,117.4944585,0.935,5,11/11/2020 8:47,90.0,43Y23 RR,266.96,bf66_sample_1
-31.59138314,117.496832,0.258,5,11/11/2020 8:49,57.5,43Y23 RR,262.88,bf66_sample_1
-31.59143815,117.4993006,0.524,5,11/11/2020 8:50,92.0,43Y23 RR,257.88,bf66_sample_1
-31.59143876,117.5019256,0.241,5,11/11/2020 8:51,89.4,43Y23 RR,253.49,bf66_sample_1
-31.59155581,117.5023304,0.587,5,11/11/2020 8:53,266.6,43Y23 RR,252.84,bf66_sample_1
-31.59154585,117.4995999,0.483,5,11/11/2020 8:54,265.5,43Y23 RR,257.26,bf66_sample_1
-31.59157941,117.496787,0.636,5,11/11/2020 8:56,238.6,43Y23 RR,263.22,bf66_sample_1
-31.5933704,117.4967293,1.043,5,11/11/2020 8:57,179.5,43Y23 RR,266.93,bf66_sample_1
-31.59539531,117.4967293,0.815,5,11/11/2020 8:58,179.8,43Y23 RR,268.21,bf66_sample_1
-31.59743396,117.496728,1.039,5,11/11/2020 9:00,180.3,43Y23 RR,267.33,bf66_sample_1
-31.59932703,117.4967287,1.3,5,11/11/2020 9:01,179.7,43Y23 RR,268.28,bf66_sample_1
-31.60109199,117.4967287,1.17,5,11/11/2020 9:02,180.3,43Y23 RR,266.09,bf66_sample_1
-31.60702667,117.4978203,0.146,5,11/11/2020 8:56,157.2,43Y23 RR,265.12,bf66_sample_1
-31.60857412,117.4984371,0.362,5,11/11/2020 8:57,257.7,43Y23 RR,269.55,bf66_sample_1
-31.60879638,117.4958109,0.241,5,11/11/2020 8:58,260.4,43Y23 RR,271.67,bf66_sample_1
-31.60868211,117.493477,0.095,5,11/11/2020 9:00,336.0,43Y23 RR,270.97,bf66_sample_1
-31.60865822,117.4953673,0.365,5,11/11/2020 9:01,93.0,43Y23 RR,272.89,bf66_sample_1
-31.60852342,117.4979356,0.333,5,11/11/2020 9:02,80.7,43Y23 RR,268.82,bf66_sample_1
-31.60726533,117.4977899,0.316,5,11/11/2020 9:04,334.7,43Y23 RR,265.63,bf66_sample_1
-31.60560052,117.4971081,0.497,5,11/11/2020 9:05,0.1,43Y23 RR,264.72,bf66_sample_1
-31.60403586,117.4971079,0.393,5,11/11/2020 9:07,359.9,43Y23 RR,262.78,bf66_sample_1
